Name,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.,Engagement Rate,Fake Score,Trust Score,Anomaly
noahschnapp,64,Cinema & Actors/actresses,24700000.0,Brazil,2300000.0,2900000.0,9.31174089068826,0,100,1
danbilzerian,65,Cinema & Actors/actresses,32900000.0,India,1300000.0,2200000.0,3.951367781155015,0,100,1
charlidamelio,66,LifestyleShows,48900000.0,United States,1200000.0,1400000.0,2.4539877300613497,0,100,1
dojacat,67,Music,24200000.0,United States,2000000.0,2700000.0,8.264462809917356,0,100,1
chrishemsworth,68,Cinema & Actors/actresses,55100000.0,India,869200.0,1100000.0,1.5774954627949183,0,100,1
kimberly.loaiza,69,Clothing & OutfitsLifestyle,35200000.0,Mexico,1400000.0,1700000.0,3.977272727272727,0,100,1
lelepons,70,Music,49000000.0,Mexico,763500.0,1200000.0,1.5581632653061224,0,100,1
iamzlatanibrahimovic,71,Sports with a ball,54600000.0,Italy,682100.0,1100000.0,1.2492673992673993,0,100,1
mosalah,72,Sports with a ball,51900000.0,Egypt,753400.0,1100000.0,1.4516377649325627,0,100,1
bn_sj2013,73,Cinema & Actors/actressesModelingLifestyle,22200000.0,Indonesia,2100000.0,2500000.0,9.45945945945946,0,100,1
jongsuk0206,74,Cinema & Actors/actresses,23000000.0,Indonesia,1800000.0,2400000.0,7.82608695652174,0,100,1
handemiyy,75,Cinema & Actors/actresses,28500000.0,Turkey,1400000.0,1900000.0,4.912280701754386,0,100,1
niallhoran,76,Music,30200000.0,United States,1200000.0,1800000.0,3.9735099337748347,0,100,1
paulodybala,77,Sports with a ball,47700000.0,Argentina,684300.0,1100000.0,1.4345911949685535,0,100,1
gal_gadot,78,Cinema & Actors/actresses,83800000.0,United States,468300.0,605900.0,0.5588305489260142,50,50,1
oohsehun,79,Music,23300000.0,Indonesia,1700000.0,2100000.0,7.296137339055794,0,100,1
realmadrid,80,Sports with a ball,121800000.0,Spain,289500.0,396500.0,0.23768472906403942,80,20,1
sadiesink_,81,ModelingLifestyleBeauty,21600000.0,Brazil,1500000.0,2200000.0,6.944444444444445,0,100,1
lilireinhart,82,Cinema & Actors/actresses,29000000.0,Brazil,1100000.0,1600000.0,3.793103448275862,0,100,1
chrisbrownofficial,83,Music,115100000.0,United States,267000.0,414500.0,0.2319721980886186,80,20,1
fcbarcelona,84,Sports with a ball,110000000.0,Indonesia,281600.0,424100.0,0.256,80,20,1
iamsrk,85,Cinema & Actors/actresses,30000000.0,India,1200000.0,1600000.0,4.0,0,100,1
ddlovato,86,Music,136300000.0,United States,264500.0,338100.0,0.19405722670579603,80,20,1
rashmika_mandanna,87,BeautyArt/ArtistsCinema & Actors/actresses,32299999.999999996,India,1200000.0,1400000.0,3.7151702786377716,0,100,1
dishapatani,88,Cinema & Actors/actressesLifestyle,52100000.0,India,696000.0,855200.0,1.3358925143953935,0,100,1
songkang_b,89,LifestyleMusic,14400000.0,Mexico,2200000.0,3100000.0,15.277777777777779,0,100,1
bellahadid,90,Modeling,53200000.0,United States,499700.0,798400.0,0.9392857142857142,50,50,1
jacksonwang852g7,91,Music,28900000.0,China,1200000.0,1500000.0,4.1522491349480966,0,100,1
deepikapadukone,92,Cinema & Actors/actresses,67800000.0,India,468700.0,611000.0,0.6912979351032449,50,50,1
dannapaola,93,Music,34500000.0,Mexico,828300.0,1200000.0,2.4008695652173913,0,100,1
blackpinkofficial,94,Music,47700000.0,Indonesia,700100.0,853000.0,1.4677148846960169,0,100,1
haileybieber,95,LifestyleModeling,45900000.0,United States,655900.0,880400.0,1.4289760348583878,0,100,1
karimbenzema,96,Sports with a ball,55900000.0,France,502400.0,724000.0,0.898747763864043,50,50,1
zacefron,97,Cinema & Actors/actresses,53900000.0,United States,514900.0,747100.0,0.9552875695732839,50,50,1
antonelaroccuzzo,98,ModelingFamily,20000000.0,Argentina,1200000.0,2000000.0,6.0,0,100,1
realstraykids,99,Music,21900000.0,Indonesia,1500000.0,1800000.0,6.8493150684931505,0,100,1
nasa,100,SciencePhotography,78600000.0,India,412200.0,496700.0,0.5244274809160305,50,50,1
nasa,101,SciencePhotography,78600000.0,India,412200.0,496700.0,0.5244274809160305,50,50,1
